Title,Date,Price,Rooms,Neighborhood,URL
Look out at the Lake in this Furnished Rental,Feb 17,$0,"
                    2br -
                ",Federal Way,https://seattle.craigslist.org/skc/vac/d/federal-way-look-out-at-the-lake-in/7058847134.html
"Vacation Home...Private home w/ pool - Palm Desert, CA area",Feb 17,$0,"
                    3br -
                ",Palm Desert / La Quinta / Palm Springs,https://seattle.craigslist.org/see/vac/d/indian-wells-vacation-homeprivate-home/7075762623.html
Coachella festival 2nd Weekend,Feb 17,$995,"
                    1br -
                    1350ft, -
                ",Indio,https://seattle.craigslist.org/see/vac/d/coachella-festival-2nd-weekend/7077360444.html
"Palm Desert Ca. 2 BR  Luxurious Kitchen MARCH $2,800 PICKLEBALL TENNIS",Feb 17,$0,"
                    2br -
                ",Palm Desert,https://seattle.craigslist.org/see/vac/d/palm-desert-palm-desert-ca-2-br/7066449790.html
WORLDMARK AT LAKE CHELAN SHORES,Feb 17,$237,"
                    2br -
                    900ft, -
                ",LAKE CHELAN,https://seattle.craigslist.org/see/vac/d/entiat-worldmark-at-lake-chelan-shores/7067880630.html
KAUAI HI Dec 11-18th LAWAI BEACH RESORT 1 Bdr 1 Bth 4th Flr Ocean View,Feb 17,$1025,"
                    1br -
                    600ft, -
                ",Kauai Hi,https://seattle.craigslist.org/tac/vac/d/koloa-kauai-hi-dec-11-18th-lawai-beach/7077346463.html
"Majestic Chateau with Hot Tub and Heated Pool, 3 hours from Seattle",Feb 17,$400,"
                    4br -
                    4000ft, -
                ","Hope, BC",https://seattle.craigslist.org/see/vac/d/hope-majestic-chateau-with-hot-tub-and/7077344832.html
~*~ =âœ´=Perfect For Any Baseball Fan!,Feb 17,$0,,seattle,https://seattle.craigslist.org/see/vac/d/seattle-perfect-for-any-baseball-fan/7077262334.html
âž Centrally location too many of the stadiums-Spring Training is almost,Feb 17,$0,,Seattle--Tacoma,https://seattle.craigslist.org/see/vac/d/seattle-centrally-location-too-many-of/7073372948.html
ðŸ’œ~~~Spring Training is on its way!You should be too!,Feb 17,$0,,seattle,https://seattle.craigslist.org/see/vac/d/seattle-spring-training-is-on-its/7074816796.html
Studio suite located in the heart of Whistler village,Feb 17,$0,,Whistler village,https://seattle.craigslist.org/see/vac/d/studio-suite-located-in-the-heart-of/7065995095.html
BEST PRICES of the year for  Sweet Seattle Houseboat,Feb 17,$0,"
                    1br -
                ",Seattle,https://seattle.craigslist.org/est/vac/d/seattle-best-prices-of-the-year-for/7074224915.html
BEST PRICES OF THE YEAR for a Sweet Seattle Houseboat,Feb 17,$0,"
                    1br -
                    300ft, -
                ",Lake Union,https://seattle.craigslist.org/see/vac/d/best-prices-of-the-year-for-sweet/7074225335.html
â–ºâ–ºâ–º Book Direct and Save! Cozy Oregon Coast Beach Cottages/HOTTUBS~Pet,Feb 17,$0,,Open Dates/Specials~Reserve today~VIEW SITE~Call t,https://seattle.craigslist.org/see/vac/d/book-direct-and-save-cozy-oregon-coast/7060664518.html
1 bedroom unit for rent! Chelan at it's best!,Feb 17,$975,"
                    1br -
                ",Lake Chelan Wapato Point,https://seattle.craigslist.org/est/vac/d/1-bedroom-unit-for-rent-chelan-at-its/7068394999.html
1 bedroom unit for rent! Chelan at it's best!,Feb 17,$975,"
                    1br -
                ",Lake Chelan Wapato Point,https://seattle.craigslist.org/est/vac/d/1-bedroom-unit-for-rent-chelan-at-its/7068389705.html
Book you vacation today,Feb 17,$99,,Choose your destination,https://seattle.craigslist.org/sno/vac/d/kissimmee-book-you-vacation-today/7062496016.html
"Family Vacation Home-5 BR, 4 Baths, hot tub-2 Masters-walk everywhere!",Feb 17,$0,"
                    5br -
                ",OPEN Spring Break Close to the Casino in Lincoln City ~ OPEN,https://seattle.craigslist.org/see/vac/d/family-vacation-home-5-br-4-baths-hot/7072783416.html
â–ºâ–ºâ–ºOpen Cottages for Newport Seafood & Wine Fesival Wkend FEB 20/23!,Feb 17,$0,,Hot tubs~Reserve today~VIEW SITE~Call today/LINCOLN Cit,https://seattle.craigslist.org/see/vac/d/open-cottages-for-newport-seafood-wine/7074055338.html
"Kayak on the Siletz~3 kings-waterfront, bikes, crab traps, fireplace!",Feb 17,$0,"
                    3br -
                ",Lincoln City~OPEN SPRING BREAK~Reserve online,https://seattle.craigslist.org/see/vac/d/kayak-on-the-siletz3-kings-waterfront/7072755978.html
WAPATO POINT SPRING BREAK WEEK condo 3/28-4/4 2020 BARGIN PRICED $699,Feb 17,$699,"
                    2br -
                    999ft, -
                ",Manson,https://seattle.craigslist.org/see/vac/d/manson-wapato-point-spring-break-week/7077218369.html
"Spokane Hoopfest is in June, reserve your RV site before they're gone!",Feb 17,$0,,,https://seattle.craigslist.org/see/vac/d/spokane-spokane-hoopfest-is-in-june/7077212467.html
Your Pacific N.W. Seaside Destination Cottage in Birch Bay Washington,Feb 17,$99,"
                    1br -
                    700ft, -
                ",Birch Bay,https://seattle.craigslist.org/sno/vac/d/blaine-your-pacific-nw-seaside/7077211025.html
Your Pacific N.W. Seaside Destination Cottage in Birch Bay Washington,Feb 17,$89,"
                    1br -
                    700ft, -
                ",Blaine,https://seattle.craigslist.org/sno/vac/d/blaine-your-pacific-nw-seaside/7077210557.html
Your Pacific N.W. Seaside Destination Cottage in Birch Bay Washington,Feb 17,$89,"
                    1br -
                    700ft, -
                ",Blaine,https://seattle.craigslist.org/sno/vac/d/blaine-your-pacific-nw-seaside/7077210267.html
Your Pacific N.W. Seaside Destination Cottage in Birch Bay Washington,Feb 17,$89,"
                    1br -
                    700ft, -
                ",Blaine,https://seattle.craigslist.org/sno/vac/d/blaine-your-pacific-nw-seaside/7077209998.html
Your Pacific N.W. Seaside Destination Cottage in Birch Bay Washington,Feb 17,$99,"
                    1br -
                    700ft, -
                ",Blaine,https://seattle.craigslist.org/sno/vac/d/blaine-your-pacific-nw-seaside/7077209590.html
Beautiful Resort Spring Break Week in Palm Springs - Worldmark Indio,Feb 17,$0,,,https://seattle.craigslist.org/see/vac/d/indio-beautiful-resort-spring-break/7075152261.html
Lakeside Home with Private Dock and Buoy in Downtown Manson,Feb 17,$250,"
                    3br -
                ","Manson, Wa",https://seattle.craigslist.org/see/vac/d/chelan-lakeside-home-with-private-dock/7074574852.html
Spokane Hoopfest June 2020. Reserve your RV site today!,Feb 17,$0,,,https://seattle.craigslist.org/tac/vac/d/spokane-spokane-hoopfest-june-2020/7077172995.html
"Going to Spokane Hoopfest? RV sites are limited, reserve today!",Feb 17,$0,,,https://seattle.craigslist.org/oly/vac/d/spokane-going-to-spokane-hoopfest-rv/7077172608.html
â–ºâ–ºâ–º Book Direct and Save! Cozy Oregon Coast Beach Cottages/HOTTUBS~Pet,Feb 17,$0,,Open Winter Dates/Specials~Reserve today~VIEW SITE~Call t,https://seattle.craigslist.org/see/vac/d/book-direct-and-save-cozy-oregon-coast/7077117915.html
Located 1/2 block from beautiful Alki Beach with spectacular views,Feb 17,$90,"
                    1br -
                    900ft, -
                ","2732 61st Ave SW,Seattle, WA",https://seattle.craigslist.org/see/vac/d/seattle-located-1-2-block-from/7060697392.html
"Close to downtown, this spacious high-end remodel offers (Sleeps 8-10)",Feb 17,$250,"
                    5br -
                    3900ft, -
                ","Seattle, WA",https://seattle.craigslist.org/see/vac/d/seattle-close-to-downtown-this-spacious/7060697478.html
"Home in the Woodinville area,just 5 minutes Chateau St.Michelle",Feb 17,$160,"
                    3br -
                    2700ft, -
                ","Kirkland, WA",https://seattle.craigslist.org/see/vac/d/kirkland-home-in-the-woodinville/7060696593.html
Come stay at our refurbished 1910 Beach Bungalow on Alki Point.,Feb 17,$120,"
                    2br -
                    1500ft, -
                ","Seattle, WA",https://seattle.craigslist.org/see/vac/d/seattle-come-stay-at-our-refurbished/7060696470.html
"Welcome to our newly renovated,makes it perfect for reunions, wedding",Feb 17,$250,"
                    5br -
                    3000ft, -
                ","Seattle, WA",https://seattle.craigslist.org/see/vac/d/seattle-welcome-to-our-newly/7060696748.html
"Beautiful remodeled two bedroom, two bathroom, large private backyard.",Feb 17,$120,"
                    2br -
                    1320ft, -
                ","Seattle, WA",https://seattle.craigslist.org/see/vac/d/seattle-beautiful-remodeled-two-bedroom/7060696664.html
"comfortable, bright home invites you,walk to Discovery Park",Feb 17,$150,"
                    3br -
                    1480ft, -
                ","Seattle, WA",https://seattle.craigslist.org/see/vac/d/seattle-comfortable-bright-home-invites/7060696702.html
Amphitheater Gorge Concerts,Feb 17,$180,"
                    1br -
                    500ft, -
                ",Sunland,https://seattle.craigslist.org/est/vac/d/amphitheater-gorge-concerts/7077138013.html
"Lake Chelan Condo at Peterson's Waterfront, 2 Bedroom/2 Bath",Feb 17,$440,"
                    2br -
                    1250ft, -
                ",Lake Chelan,https://seattle.craigslist.org/see/vac/d/chelan-falls-lake-chelan-condo-at/7075294286.html
"Cozy Bella Beach Cottage, hot tub, fireplace, king bed, beach toys",Feb 17,$0,"
                    2br -
                ",OPEN this Wkend~Head to the Bella Beach - call we,https://seattle.craigslist.org/oly/vac/d/gleneden-beach-cozy-bella-beach-cottage/7075640485.html
From $67/nt or $430/wk @  Puyallup near Fred Meyers & Downtown,Feb 17,$67,,Puyallup,https://seattle.craigslist.org/tac/vac/d/from-67-nt-or-430-wk-puyallup-near-fred/7077108053.html
Waterfront Luxury-3 private acres~HotTub-King beds!,Feb 17,$0,"
                    3br -
                ",Lincoln City OPEN Dates~call today OPEN 9am-10,https://seattle.craigslist.org/see/vac/d/waterfront-luxury-3-private-acreshottub/7067791199.html
"Endless Views~Sleeps 16, Great for Couples~HotTub, Pet-Friendly",Feb 17,$0,"
                    5br -
                ",OPEN Spring Break~Head to the Bella Beach - call we are OPEN,https://seattle.craigslist.org/see/vac/d/depoe-bay-endless-viewssleeps-16-great/7067787810.html
Luxury Furnishings~Sleeps 9-11 - King Beds HotTub-Luxury Furnishings,Feb 17,$0,"
                    4br -
                ",OPEN Spring Break~Bella Beach call  9 am - 10 pm,https://seattle.craigslist.org/see/vac/d/luxury-furnishingssleeps-king-beds/7071670415.html
"OCEAN FRONT~ HotTub, Pet Friendly, King bed, wifi~Bella Beach",Feb 17,$0,"
                    2br -
                ",OPEN Dates! Call we are OPEN 9 am-10 pm,https://seattle.craigslist.org/see/vac/d/ocean-front-hottub-pet-friendly-king/7071696353.html
Roslyn Ridge Getaway,Feb 17,$129,"
                    2br -
                ",Roslyn/Ronald,https://seattle.craigslist.org/est/vac/d/roslyn-ridge-getaway/7077076723.html
Unwind on Your Fantasy Hawaiian Vacation- 1BD/1BA Condo in Kailua-Kona,Feb 17,$170,"
                    1br -
                    800ft, -
                ",75-6082 Alii Drive Big Island of Hawaii,https://seattle.craigslist.org/see/vac/d/kailua-kona-unwind-on-your-fantasy/7061603472.html
Townhouse--Temp FURNISHED 3 bedroom $90+/Night,Feb 17,$90,"
                    3br -
                    1200ft, -
                ",Federal Way,https://seattle.craigslist.org/skc/vac/d/townhouse-temp-furnished-3-bedroom-90/7071383113.html
ROMANTIC BEACH CABIN #1 GREAT VIEWS. PRIVATE BEACH FIREPLACE,Feb 17,$100,,"Ocean Shores, Washington, Ocean Front, W",https://seattle.craigslist.org/see/vac/d/romantic-beach-cabin-1-great-views/7077030607.html
Leavenworth Cabin- Available for spring Break,Feb 17,$165,"
                    1200ft, -
                ","Plain, WA",https://seattle.craigslist.org/sno/vac/d/leavenworth-leavenworth-cabin-available/7077058448.html
Beach Front house Amazing Views Two Condos in one house,Feb 17,$200,"
                    4br -
                    2000ft, -
                ","Ocean Shores, olympic peninsula",https://seattle.craigslist.org/see/vac/d/ocean-shores-beach-front-house-amazing/7077041507.html
"BEACH FRONT CHARMING CABIN #3 Private beach, fireplace, relaxing",Feb 17,$100,,"Ocean Shores, Washington, Ocean Front, W",https://seattle.craigslist.org/see/vac/d/westport-beach-front-charming-cabin-3/7077037177.html
Cozy Beach Front Cabin/fireplace and steps to the beach,Feb 17,$100,,"Ocean Shores, Washington, Ocean Front, W",https://seattle.craigslist.org/see/vac/d/westport-cozy-beach-front-cabin/7077038832.html
Beach Front house Amazing Views Two Condos in one house,Feb 17,$250,"
                    4br -
                    2000ft, -
                ","Ocean Shores, olympic peninsula",https://seattle.craigslist.org/see/vac/d/ocean-shores-beach-front-house-amazing/7077033818.html
RV Spots Available!,Feb 17,$675,,Lynnwood,https://seattle.craigslist.org/sno/vac/d/lynnwood-rv-spots-available/7075502912.html
Last Minute February and March Specials,Feb 17,$2000,"
                    4br -
                ","Marathon, FL KEYS",https://seattle.craigslist.org/see/vac/d/key-colony-beach-last-minute-february/7077028599.html
Last Minute January Specials,Feb 17,$2150,"
                    4br -
                ","Marathon, FL KEYS",https://seattle.craigslist.org/see/vac/d/key-colony-beach-last-minute-january/7077028283.html
WATERFRONT - Wapato Point,Feb 17,$850,"
                    1br -
                ",Manson,https://seattle.craigslist.org/see/vac/d/chelan-waterfront-wapato-point/7077013671.html
âˆ°>>>Spring Training is on its way! You should be too!,Feb 17,$0,,Seattle,https://seattle.craigslist.org/see/vac/d/atlanta-spring-training-is-on-its-way/7074163072.html
Save DOUBLE when booking Hawaii vacation rental condo,Feb 17,$0,,"Maui, Kihei, Hawaii",https://seattle.craigslist.org/see/vac/d/kihei-save-double-when-booking-hawaii/7076952424.html
Seascape Beach Cottage,Feb 17,$145,"
                    3br -
                    1200ft, -
                ","Pacific Beach, WA",https://seattle.craigslist.org/oly/vac/d/pacific-beach-seascape-beach-cottage/7068252845.html
Luxury Suite Rental-16 Rnds of Golf on 2 Great Courses/ 2 Spa Massages,Feb 17,$2700,"
                    2br -
                    2300ft, -
                ","Nuevo Vallarta or Mayan Riviera, Mexico",https://seattle.craigslist.org/see/vac/d/luxury-suite-rental-16-rnds-of-golf-on/7061331808.html
Our Great Home at Whistler,Feb 17,$0,"
                    2br -
                ","Taluswood, Whistler, BC Canada",https://seattle.craigslist.org/see/vac/d/our-great-home-at-whistler/7076973744.html
Waterfront Downtown Seattle,Feb 17,$2750,"
                    1br -
                    1280ft, -
                ",Magnolia,https://seattle.craigslist.org/see/vac/d/waterfront-downtown-seattle/7076966453.html
Weekday Skiing -- HOT TUB -- Cabin at Mt. Hood,Feb 17,$1,"
                    3br -
                    1450ft, -
                ",Rhododendron,https://seattle.craigslist.org/see/vac/d/weekday-skiing-hot-tub-cabin-at-mt-hood/7076946875.html
"2 Bedroom, 1 Bath Cottage in the Country near Seattle or Tacoma",Feb 17,$85,"
                    2br -
                    700ft, -
                ",Vashon Island,https://seattle.craigslist.org/tac/vac/d/2-bedroom-1-bath-cottage-in-the-country/7062520846.html
"Walk the Beach, Snuggle by a Fire -- Island Cottages",Feb 17,$115,,"Vashon Island, WA",https://seattle.craigslist.org/see/vac/d/vashon-walk-the-beach-snuggle-by-fire/7062512221.html
Two Bedroom Suite in Harbor View Cottage,Feb 17,$165,"
                    2br -
                ",Vashon Island,https://seattle.craigslist.org/kit/vac/d/two-bedroom-suite-in-harbor-view-cottage/7063547267.html
Mexico Vacation Rental,Feb 17,$0,"
                    2br -
                ","Various, see listing",https://seattle.craigslist.org/kit/vac/d/mexico-vacation-rental/7061113525.html
OCEAN DAYS!!! AMAZING 312 SEAVIEW..BEST VIEWS ON TOP FL,Feb 17,$135,"
                    2br -
                    1200ft, -
                ",SEAVIEW,https://seattle.craigslist.org/see/vac/d/seaview-ocean-days-amazing-312/7076911712.html
Condos Available - Spring Break 2020,Feb 17,$0,,Oregon Coast/Central Oregon,https://seattle.craigslist.org/see/vac/d/cannon-beach-condos-available-spring/7076913919.html
Leavenworth - Lake Wenatchee 4 Bedroom Home,Feb 17,$0,"
                    4br -
                    1800ft, -
                ",Lake Wenatchee - Leavenworth,https://seattle.craigslist.org/see/vac/d/leavenworth-leavenworth-lake-wenatchee/7076911103.html
BEACH DAYS!!!!AMAZING 312 SEAVIEW..BEST VIEWS ON TOP FL,Feb 17,$135,"
                    2br -
                    1200ft, -
                ",SEAVIEW,https://seattle.craigslist.org/see/vac/d/seaview-beach-daysamazing-312/7076901456.html
BEACH DAYS!!! AMAZING 312 SEAVIEW..BEST VIEWS ON TOP FL,Feb 17,$135,"
                    2br -
                    1200ft, -
                ",SEAVIEW,https://seattle.craigslist.org/see/vac/d/seaview-beach-days-amazing-312/7076905066.html
--------------OREGON COAST/LUXURY CABIN ON PRIVATE LAKE--------------,Feb 17,$0,"
                    3br -
                ",Fishing Fireplace Jacuzzi,https://seattle.craigslist.org/see/vac/d/oregon-coast-luxury-cabin-on-private/7076908561.html
Beautiful Resort Spring Break Week in Palm Springs - Worldmark Indio,Feb 17,$0,,,https://seattle.craigslist.org/see/vac/d/indio-beautiful-resort-spring-break/7076907220.html
Beautiful Resort Spring Break Week in Palm Springs - Worldmark Indio,Feb 17,$0,,,https://seattle.craigslist.org/see/vac/d/indio-beautiful-resort-spring-break/7076906972.html
Beautiful Resort Spring Break Week in Palm Springs - Worldmark Indio,Feb 17,$0,,,https://seattle.craigslist.org/see/vac/d/indio-beautiful-resort-spring-break/7074987856.html
Port Townsend Waterfront Home 2 Bd Sleeps 2-4,Feb 17,$140,"
                    2br -
                ","Port Townsend, WA",https://seattle.craigslist.org/see/vac/d/nordland-port-townsend-waterfront-home/7074800448.html
Beautiful  Home BOOK NOW............,Feb 17,$151,"
                    4br -
                ","176 Joyful Pl Leavenworth, WA",https://seattle.craigslist.org/see/vac/d/leavenworth-beautiful-home-book-now/7059544469.html
Wapato Point -  Units Gifted - NEW  Listings - All Associations,Feb 17,$0,,Lake Chelan,https://seattle.craigslist.org/see/vac/d/manson-wapato-point-units-gifted-new/7076881366.html
Wapato Point Beach Assoc. Remodel Pictures,Feb 17,$0,,Lake Chelan,https://seattle.craigslist.org/see/vac/d/manson-wapato-point-beach-assoc-remodel/7076881197.html
Wapato Point - Units For Sale  By Owners,Feb 17,$0,,Lake Chelan,https://seattle.craigslist.org/see/vac/d/wapato-point-units-for-sale-by-owners/7076881011.html
Wapato Point - Attn - Renters - Year Round Rentals,Feb 17,$0,,Lake Chelan,https://seattle.craigslist.org/see/vac/d/wapato-point-attn-renters-year-round/7076880822.html
Wapato Point Atten: Owners,Feb 17,$0,,Lake Chealn,https://seattle.craigslist.org/see/vac/d/chelan-wapato-point-atten-owners/7076880690.html
"Oregon Coast Bluff Cottage, VIEW! 2020 dates, multiple discounts",Feb 17,$104,"
                    2br -
                    760ft, -
                ",Newport - Beverly Beach,https://seattle.craigslist.org/see/vac/d/oregon-coast-bluff-cottage-view-2020/7071745212.html
$700 total for (3 nights) Kaanapali Beach Club-MAUI,Feb 17,$700,"
                    1br -
                    800ft, -
                ",Lahaina,https://seattle.craigslist.org/see/vac/d/lahaina-700-total-for-3-nights/7070084762.html
Awesome Apartment In Taylor Ave!,Feb 17,$500,"
                    1br -
                ",Seattle,https://seattle.craigslist.org/see/vac/d/seattle-awesome-apartment-in-taylor-ave/7074016879.html
Waterfront Florida - Gulf Coast - Resort Retirement Community,Feb 17,$0,"
                    2br -
                ",,https://seattle.craigslist.org/see/vac/d/rockford-waterfront-florida-gulf-coast/7068035198.html
Waterfront Florida - Gulf Coast - Resort Retirement Community,Feb 17,$0,"
                    2br -
                ",,https://seattle.craigslist.org/see/vac/d/rockford-waterfront-florida-gulf-coast/7068016396.html
Waterfront Florida - Gulf Coast - Resort Retirement Community,Feb 17,$0,"
                    2br -
                ",,https://seattle.craigslist.org/see/vac/d/rockford-waterfront-florida-gulf-coast/7064424153.html
Nuevo Vallarta Grand Luxxe Spa Tower 2 bedroom Suite April 2020!!,Feb 16,$3800,"
                    2br -
                    2400ft, -
                ",Nuevo Vallarta Mexico,https://seattle.craigslist.org/see/vac/d/nuevo-vallarta-grand-luxxe-spa-tower-2/7076800884.html
Wapato Point Waterfront Condo Lake Chelan,Feb 16,$150,"
                    769ft, -
                ",,https://seattle.craigslist.org/see/vac/d/chelan-wapato-point-waterfront-condo/7076790667.html
"2 Bed, 2 Bath Whistler, sleeps 6, Feb 23 - 25",Feb 16,$195,"
                    2br -
                    750ft, -
                ","Whistler, BC",https://seattle.craigslist.org/see/vac/d/blaine-2-bed-2-bath-whistler-sleeps-6/7069383376.html
Daily - Weekly - Monthly - Office Studio Space - Floating Oasis,Feb 16,$125,"
                    200ft, -
                ",Seattle,https://seattle.craigslist.org/see/vac/d/seattle-daily-weekly-monthly-office/7063733814.html
SCAM! Queen Anne house,Feb 16,$200,,Queen anne,https://seattle.craigslist.org/see/vac/d/seattle-scam-queen-anne-house/7076772022.html
Cabo San Lucas - Spring Break - Playa Grande,Feb 16,$875,"
                    1br -
                ","Cabo San Lucas, Mexico",https://seattle.craigslist.org/see/vac/d/bainbridge-island-cabo-san-lucas-spring/7076772023.html
"LINCOLN CITY Vacation Cottages~Best Beach, 7 miles of Sandy Shore!",Feb 16,$0,,OPEN for the Newport Seafood & Wine Festival FEB 20/23rd~HOT,https://seattle.craigslist.org/see/vac/d/gleneden-beach-lincoln-city-vacation/7073506626.html
Whistler/ Blackcomb,Feb 16,$2000,"
                    1br -
                ",Canada,https://seattle.craigslist.org/see/vac/d/mercer-island-whistler-blackcomb/7075013787.html
Waterfront~whale watch~hottub king bed fireplace! Amazing Views!,Feb 16,$0,"
                    3br -
                ",Open Spring Break~call to reserve online,https://seattle.craigslist.org/see/vac/d/waterfrontwhale-watchhottub-king-bed/7076752997.html
Luxury Monthly Vacation Rental~Spectacular Ocean Views~king bed,Feb 16,$0,"
                    2br -
                ",Lincoln City ~ OPEN 9am - 10pm,https://seattle.craigslist.org/see/vac/d/neotsu-luxury-monthly-vacation/7076754276.html
FAMILY cottage-hottub-king beds-PING PONG-bikes~OPEN dates,Feb 16,$0,"
                    3br -
                    1600ft, -
                ",Open Spring Break~CALL 9am-10pm Beach it!,https://seattle.craigslist.org/see/vac/d/family-cottage-hottub-king-beds-ping/7068678734.html
Spring Break on the COAST~7 miles of Sandy Shore~HOTTUBS!,Feb 16,$0,,Beach Time~OPEN 9am - 10pm call and view site,https://seattle.craigslist.org/see/vac/d/spring-break-on-the-coast7-miles-of/7075313239.html
3br - 3 bedroom 2 bathroom apartment in Ballard-utilities/WIFI,Feb 16,$225,"
                    3br -
                ","Ballard, Seattle",https://seattle.craigslist.org/see/vac/d/seattle-3br-3-bedroom-2-bathroom/7076710576.html
"The Waves House! HTub~Lovely Sea Vu~Wifi~Comp Wine~50"" Smart TV~Dogs",Feb 16,$0,"
                    2br -
                ",Waldport,https://seattle.craigslist.org/oly/vac/d/waldport-the-waves-house-htublovely-sea/7067180121.html
Jagger's River Haus - Hot Tub - Waterfront - Walking Distance to To To,Feb 16,$250,"
                    5br -
                ","Leavenworth, WA",https://seattle.craigslist.org/see/vac/d/leavenworth-jaggers-river-haus-hot-tub/7076695706.html
Beautiful Resort Spring Break Week in Palm Springs - Worldmark Indio,Feb 16,$0,,,https://seattle.craigslist.org/see/vac/d/indio-beautiful-resort-spring-break/7076685569.html
"Timeshare (good till 2040) for Sale Cabo, Pueblo Bonito Sunset",Feb 16,$5995,,"Cabo San Lucas, Mexico",https://seattle.craigslist.org/est/vac/d/timeshare-good-till-2040-for-sale-cabo/7074150843.html
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,Feb 16,$20,"
                    3br -
                    3500ft, -
                ",Everett,https://seattle.craigslist.org/sno/vac/d/vacation-by-weeks-no-maintenance-ever/7076661046.html
Ground hog said spring is coming early!!  More time for fun!!,Feb 16,$0,,,https://seattle.craigslist.org/see/vac/d/liberty-lake-ground-hog-said-spring-is/7076649250.html
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,Feb 16,$20,"
                    3br -
                    3500ft, -
                ",Everett,https://seattle.craigslist.org/sno/vac/d/vacation-by-weeks-no-maintenance-ever/7076639127.html
Vacation by weeks no maintenance ever-Gold Crown Resorts + any resorts,Feb 16,$20,"
                    3br -
                    3500ft, -
                ",Everett,https://seattle.craigslist.org/sno/vac/d/vacation-by-weeks-no-maintenance-ever/7066004370.html
"Kauai, Hawaii   4th of July week",Feb 16,$1250,"
                    1br -
                ",Kapaa,https://seattle.craigslist.org/see/vac/d/kealia-kauai-hawaii-4th-of-july-week/7072317995.html
Thanksgiving on Maui,Feb 16,$1200,"
                    1br -
                ",Lahaina HI,https://seattle.craigslist.org/see/vac/d/lahaina-thanksgiving-on-maui/7072304413.html
Kauai HI spring break April 18-25,Feb 16,$1500,"
                    2br -
                    1400ft, -
                ",Kapaa Kauai,https://seattle.craigslist.org/see/vac/d/kealia-kauai-hi-spring-break-april-18-25/7072304121.html
"Traveling nurses, OT, PT short term stay",Feb 16,$80,"
                    2br -
                ",Between Sequim and Pt Townsend,https://seattle.craigslist.org/kit/vac/d/carlsborg-traveling-nurses-ot-pt-short/7063589378.html
SWAP time in Water View vac rental for Your Vacation Rental,Feb 16,$69,"
                    2br -
                ","Discovery Bay, Sequim, WA",https://seattle.craigslist.org/kit/vac/d/port-townsend-swap-time-in-water-view/7063584935.html
Sequim Vacation  Rental - Water View - Picnic Area-Beach Access,Feb 16,$69,"
                    2br -
                ",Sequim - Discovery Bay  - Olympic Peninsula,https://seattle.craigslist.org/kit/vac/d/sequim-vacation-rental-water-view/7063590329.html
